Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature_C,Humidity,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Water_Source,Field_Area_hectare,Mulching_Used,Previous_Irrigation_mm,Region,Irrigation_Need
Clay,6.14,36.48,0.42,2.17,21.9,31.19,1167.7,4.01,1.97,Wheat,Vegetative,Rabi,Rainfed,Reservoir,4.73,Yes,1.98,South,Low
Silt,6.41,50.56,0.38,0.23,36.5,26.01,831.28,10.72,16.82,Maize,Flowering,Zaid,Canal,Groundwater,12.22,Yes,33.56,Central,Medium
Sandy,7.71,40.07,1.09,2.18,41.83,76.41,1844.45,7.75,19.03,Cotton,Harvest,Rabi,Drip,Reservoir,5.52,Yes,34.62,South,Low
Clay,5.96,12.75,1.56,0.4,37.22,43.32,306.26,8.9,11.44,Wheat,Sowing,Kharif,Canal,Reservoir,1.43,Yes,84.03,North,Medium
Clay,7.76,18.58,0.95,2.52,22.38,86.44,1875.63,10.39,11.26,Cotton,Sowing,Zaid,Canal,River,2.52,No,60.86,South,Medium
Silt,5.1,20.5,0.37,1.43,33.34,62.51,402.92,7.03,13.55,Rice,Sowing,Zaid,Sprinkler,Groundwater,7.56,Yes,7.33,East,Medium
Sandy,7.44,22.7,0.59,2.95,28.02,58.5,764.95,7.08,7.38,Rice,Flowering,Kharif,Sprinkler,Reservoir,2.18,No,51.47,West,Medium
Sandy,7.68,40.23,0.62,3.3,35.6,79.1,833.33,5.17,3.73,Wheat,Vegetative,Zaid,Rainfed,Reservoir,12.54,Yes,118.96,West,Low
Clay,5.42,36.73,0.74,1.52,16.59,76.88,2476.03,10.34,1.8,Maize,Flowering,Kharif,Sprinkler,Rainwater,13.75,Yes,107.25,Central,Low
Loamy,6.26,19.58,0.36,1.67,31.14,74.3,1474.55,8.53,17.68,Rice,Vegetative,Rabi,Rainfed,Reservoir,1.27,Yes,97.92,Central,Medium
Clay,5.36,11.85,1.48,2.11,35.21,73.29,1943.89,5.26,11.17,Rice,Flowering,Kharif,Canal,River,13.11,No,74.35,North,High
Clay,7.2,17.77,0.97,0.77,34.84,61.08,1388.44,7.92,14.03,Maize,Sowing,Kharif,Sprinkler,Reservoir,10.39,Yes,15.22,East,Medium
Clay,6.62,64.11,1.17,3.25,40.91,89.85,2457.89,6.3,6.98,Sugarcane,Flowering,Kharif,Sprinkler,Reservoir,5.08,No,107.89,North,Medium
Clay,6.96,34.71,0.39,1.57,13.75,87.34,443.45,5.03,16.24,Wheat,Harvest,Kharif,Canal,River,4.01,Yes,43.18,East,Low
Silt,5.47,57.44,0.37,0.67,22.37,48.06,1512.19,5.27,7.32,Potato,Flowering,Zaid,Canal,Rainwater,6.26,No,20.43,North,Low
Sandy,5.52,56.38,1.06,2.69,26.3,81.33,1993.46,7.91,1.08,Rice,Harvest,Rabi,Rainfed,Groundwater,9.11,No,16.53,West,Low
Silt,4.94,37.16,1.45,0.85,21.29,87.38,1571.39,7.95,7.07,Maize,Vegetative,Kharif,Sprinkler,Rainwater,3.84,No,101.67,West,Low
